party,seats,sq_cabinet,sq_pm,election_year,banzhaf,shapley,splus,country,cabinet_name,caretaker,cabinet_party,prime_minister,left_rightx,left_righty,cabinet_seats,total_cabinet_size,party_name_english,country_id,election_id,seats_share,enpp,mingov,bicameral,miw_proportion,cabinet_proportion,seats_proportion,country_dummy1,country_dummy2,country_dummy3,country_dummy4,country_dummy5,country_dummy6,country_dummy7,country_dummy8,country_dummy9,country_dummy10,country_dummy11,country_dummy12,country_dummy13
SPO,69,0,0,2002,.16666667,.16666667,.17996533,AUT,Schuessel II,1,0,0,3.6593333,3,0,11,Social Democratic Party of Austria,59,365,37.704918,2.8832545,0,1,.2,0,.37704918,1,0,0,0,0,0,0,0,0,0,0,0,0
SP,2,0,0,2011,0,0,.0032861,IRL,Kenny I,0,0,0,1.3333334,,0,15,Socialist Party,37,698,1.2048193,3.4557312,0,1,0,0,.012048192,0,0,0,0,0,1,0,0,0,0,0,0,0
PBPA,2, ,,2011,0,0,.0035027449,IRL,Kenny I,0,0,0,,,0,15,People Before Profit Alliance,37,698,1.2048193,3.4557312,0,1,0,0,.012048192,0,0,0,0,0,1,0,0,0,0,0,0,0
FG,76,0,0,2011,.63636363,.60000002,.60649413,IRL,Kenny I,0,1,1,6.4893333,6.8,10,15,Fine Gael (Familiy of the Irish),37,698,45.783131,3.4557312,0,1,.42857143,.66666669,.45783132,0,0,0,0,0,1,0,0,0,0,0,0,0
NONE,15,0,0,2011,.090909094,.1,.096681759,IRL,Kenny I,0,0,0,,,0,15,no party affiliation,37,698,9.0361443,3.4557312,0,1,.14285715,0,.090361446,0,0,0,0,0,1,0,0,0,0,0,0,0
SF,14,0,0,2011,.090909094,.1,.096451782,IRL,Kenny I,0,0,0,2.031579,,0,15,Sinn Fein,37,698,8.4337349,3.4557312,0,1,.14285715,0,.084337346,0,0,0,0,0,1,0,0,0,0,0,0,0
LAB,37,0,0,2011,.090909094,.1,.096791752,IRL,Kenny I,0,1,0,3.6788889,3.6,5,15,Labour Party,37,698,22.289156,3.4557312,0,1,.14285715,.33333334,.22289157,0,0,0,0,0,1,0,0,0,0,0,0,0
FF,20,1,1,2011,.090909094,.1,.096791752,IRL,Kenny I,0,0,0,5.9926667,6.3,0,15,Fianna Fail (Soldiers of Destiny),37,698,12.048193,3.4557312,0,1,.14285715,0,.12048193,0,0,0,0,0,1,0,0,0,0,0,0,0
VIHR,10,1,0,2011,.061538462,.057142857,.059953291,FIN,Katainen,0,1,0,3.7008333,,2,19,Green League,67,700,5,5.830904,0,0,.068965517,.10526316,.050251257,0,0,0,0,1,0,0,0,0,0,0,0,0
SSDP,42,0,0,2011,.21538462,.21904762,.20423529,FIN,Katainen,0,1,0,3.4931111,3,6,19,Social Democratic Party of Finland,67,700,21,5.830904,0,0,.20689656,.31578946,.21105528,0,0,0,0,1,0,0,0,0,0,0,0,0
SP-P,39,0,0,2011,.16923077,.17142858,.17936182,FIN,Katainen,0,0,0,6.3916667,5.8,0,19,Finnish Party -- True Finns,67,700,19.5,5.830904,0,0,.1724138,0,.19597989,0,0,0,0,1,0,0,0,0,0,0,0,0
RKP-SFP,9,1,0,2011,.061538462,.057142857,.053737246,FIN,Katainen,0,1,0,6.3257778,6.1,2,19,Swedish Peoples Party,67,700,4.5,5.830904,0,0,.068965517,.10526316,.045226131,0,0,0,0,1,0,0,0,0,0,0,0,0
VAS,14,0,0,2011,.10769231,.10476191,.098389685,FIN,Katainen,0,1,0,2.3719444,,2,19,Left Alliance,67,700,7,5.830904,0,0,.10344828,.10526316,.070351757,0,0,0,0,1,0,0,0,0,0,0,0,0
KD,6,0,0,2011,.030769231,.028571429,.035570253,FIN,Katainen,0,1,0,7.2257778,6.8,1,19,Finnish Christian Union,67,700,3,5.830904,0,0,.034482758,.052631579,.030150754,0,0,0,0,1,0,0,0,0,0,0,0,0
KOK,44,1,0,2011,.21538462,.21904762,.22074221,FIN,Katainen,0,1,1,7.1597778,7.2,6,19,National Coalition Party,67,700,22,5.830904,0,0,.20689656,.31578946,.22110553,0,0,0,0,1,0,0,0,0,0,0,0,0
KESK,35,1,1,2011,.13846155,.14285715,.14801019,FIN,Katainen,0,0,0,5.8053333,5.2,0,19,Centre Party,67,700,17.5,5.830904,0,0,.13793103,0,.1758794,0,0,0,0,1,0,0,0,0,0,0,0,0
